Building Type,Incident Zip,Borough,Day of Week,Date of Report,Duration of Call (min)
Villa,10464,Bronx,4,2023-03-09,37
Apartment Complex,10035,Manhattan,4,2023-04-27,56
Villa,10467,Bronx,2,2023-04-04,14
Private Home,11074,Queens,4,2023-06-08,9
Apartment Complex,10465,Bronx,7,2023-08-06,9
Apartment Complex,10456,Bronx,2,2023-10-24,42
Private Home,10207,Manhattan,6,2023-01-14,3
Apartment Complex,11107,Queens,7,2023-05-14,21
Villa,11229,Brooklyn,1,2023-10-16,50
Hotel,11204,Brooklyn,4,2023-09-07,37
Apartment Complex,11086,Queens,3,2023-09-06,35
Villa,10458,Bronx,7,2023-01-15,37
Hotel,11045,Queens,2,2023-10-03,57
Apartment Complex,11084,Queens,6,2023-03-18,10
Apartment Complex,11213,Brooklyn,4,2023-01-19,12
Hotel,10474,Bronx,2,2023-03-07,27
Hotel,11207,Brooklyn,4,2023-01-12,33
Hotel,11007,Queens,4,2023-12-14,12
Hotel,11252,Brooklyn,4,2023-09-28,12
Villa,11222,Brooklyn,2,2023-02-21,12
Private Home,11246,Brooklyn,6,2023-11-18,19
Villa,10459,Bronx,1,2023-12-25,42
Villa,10069,Manhattan,4,2023-05-25,47
Villa,10311,Staten Island,7,2023-08-13,3
Hotel,11226,Brooklyn,5,2023-10-13,9
Villa,11201,Brooklyn,7,2023-07-30,16
Apartment Complex,10273,Manhattan,4,2023-07-27,59
Hotel,11008,Queens,1,2023-05-22,18
Villa,10463,Bronx,2,2023-07-11,41
Private Home,11218,Brooklyn,5,2023-05-19,4
Apartment Complex,10472,Bronx,7,2023-06-04,2
Villa,10310,Staten Island,6,2023-03-18,20
Hotel,11097,Queens,5,2023-09-22,40
Hotel,10312,Staten Island,6,2023-12-30,46
Private Home,10075,Manhattan,7,2023-12-31,19
Villa,10469,Bronx,3,2023-11-15,52
Private Home,10272,Manhattan,5,2023-10-27,27
Villa,10454,Bronx,2,2023-06-20,27
Private Home,10303,Staten Island,2,2023-03-28,27
Hotel,10308,Staten Island,3,2023-01-25,50
Hotel,10002,Manhattan,5,2023-06-16,60
Private Home,11206,Brooklyn,7,2023-09-17,58
Private Home,10183,Manhattan,7,2023-02-26,5
Hotel,10045,Manhattan,2,2023-04-25,30
Villa,10465,Bronx,3,2023-10-11,37
Villa,11074,Queens,6,2023-04-08,22
Apartment Complex,10453,Bronx,2,2023-02-21,50
Private Home,11219,Brooklyn,5,2023-03-24,27
Villa,10474,Bronx,2,2023-07-11,31
Hotel,10471,Bronx,5,2023-07-28,36
Apartment Complex,10313,Staten Island,3,2023-02-15,28
Apartment Complex,11253,Brooklyn,6,2023-02-04,50
Apartment Complex,11065,Queens,3,2023-08-02,1
Hotel,11025,Queens,4,2023-01-12,11
Villa,10309,Staten Island,6,2023-09-23,39
Villa,11218,Brooklyn,5,2023-02-24,6
Apartment Complex,10161,Manhattan,1,2023-09-11,26
Hotel,11018,Queens,1,2023-03-13,50
Private Home,11089,Queens,5,2023-07-21,18
Private Home,10312,Staten Island,6,2023-07-22,23
Private Home,11202,Brooklyn,4,2023-11-09,20
Villa,10454,Bronx,7,2023-12-17,2
Apartment Complex,10303,Staten Island,6,2023-12-09,25
Villa,11064,Queens,1,2023-09-25,11
Apartment Complex,11096,Queens,5,2023-02-24,9
Hotel,10302,Staten Island,7,2023-12-10,42
Villa,10306,Staten Island,5,2023-10-20,50
Hotel,10313,Staten Island,3,2023-02-08,40
Villa,11020,Queens,3,2023-08-16,16
Private Home,11215,Brooklyn,1,2023-02-20,14
Villa,10472,Bronx,5,2023-04-21,54
Hotel,11073,Queens,5,2023-02-24,54
Apartment Complex,10166,Manhattan,3,2023-08-09,36
Villa,11219,Brooklyn,7,2023-01-08,29
Private Home,10469,Bronx,3,2023-08-09,53
Private Home,11039,Queens,6,2023-11-04,43
Hotel,11252,Brooklyn,1,2023-05-15,35
Apartment Complex,10465,Bronx,5,2023-09-29,13
Private Home,10471,Bronx,5,2023-02-03,55
Villa,11244,Brooklyn,3,2023-05-24,35
Villa,10458,Bronx,1,2023-03-27,56
Villa,10310,Staten Island,7,2023-08-13,24
Private Home,11243,Brooklyn,7,2023-09-24,8
Villa,11237,Brooklyn,5,2023-03-31,1
Private Home,10465,Bronx,4,2023-08-24,20
Villa,10029,Manhattan,3,2023-05-24,42
Villa,11225,Brooklyn,7,2023-11-19,10
Villa,11224,Brooklyn,7,2023-10-08,14
Apartment Complex,10210,Manhattan,2,2023-08-29,31
Hotel,11202,Brooklyn,3,2023-12-13,43
Private Home,10305,Staten Island,3,2023-03-15,39
Apartment Complex,11022,Queens,4,2023-03-30,56
Villa,10461,Bronx,4,2023-01-12,38
Private Home,11063,Queens,7,2023-06-04,2
Hotel,11250,Brooklyn,6,2023-03-18,19
Hotel,11224,Brooklyn,7,2023-06-25,20
Private Home,10305,Staten Island,4,2023-05-25,54
Villa,11048,Queens,3,2023-06-21,60
Apartment Complex,10013,Manhattan,5,2023-05-26,18
Villa,10309,Staten Island,4,2023-09-14,12
Apartment Complex,10035,Manhattan,5,2023-04-14,44
Private Home,11249,Brooklyn,6,2023-08-19,3
Apartment Complex,10121,Manhattan,5,2023-07-21,30
Hotel,10305,Staten Island,1,2023-06-19,56
Villa,11203,Brooklyn,3,2023-12-20,51
Private Home,10094,Manhattan,3,2023-04-19,2
Villa,10135,Manhattan,7,2023-12-17,53
Private Home,10459,Bronx,1,2023-10-16,47
Private Home,10464,Bronx,2,2023-06-20,7
Private Home,11033,Queens,1,2023-05-01,47
Apartment Complex,10311,Staten Island,4,2023-09-14,58
Private Home,11101,Queens,2,2023-02-28,57
Apartment Complex,10058,Manhattan,4,2023-12-21,7
Hotel,10470,Bronx,1,2023-03-20,32
Hotel,10049,Manhattan,2,2023-07-25,46
Private Home,10460,Bronx,7,2023-10-29,53
Hotel,10212,Manhattan,4,2023-06-01,35
Villa,10451,Bronx,5,2023-09-22,42
Private Home,10454,Bronx,2,2023-02-14,27
Hotel,10470,Bronx,7,2023-05-28,31
Villa,11098,Queens,4,2023-04-27,12
Hotel,10142,Manhattan,5,2023-08-11,14
Private Home,11030,Queens,1,2023-03-27,60
Private Home,11251,Brooklyn,6,2023-06-03,44
Apartment Complex,10462,Bronx,5,2023-12-01,24
Villa,10301,Staten Island,3,2023-03-29,14
Private Home,10310,Staten Island,2,2023-12-12,52
Private Home,10468,Bronx,7,2023-11-19,32
Apartment Complex,11239,Brooklyn,6,2023-02-11,59
Apartment Complex,10305,Staten Island,6,2023-01-21,9
Private Home,10310,Staten Island,2,2023-08-15,33
Apartment Complex,10019,Manhattan,1,2023-06-26,59
Apartment Complex,10199,Manhattan,4,2023-02-02,25
Apartment Complex,10309,Staten Island,4,2023-04-20,33
Hotel,10452,Bronx,2,2023-07-11,18
Apartment Complex,10301,Staten Island,7,2023-11-19,49
Apartment Complex,10472,Bronx,7,2023-07-30,44
Villa,10458,Bronx,2,2023-11-14,33
Hotel,10094,Manhattan,1,2023-01-02,2
Private Home,11233,Brooklyn,5,2023-11-24,53
Hotel,11207,Brooklyn,7,2023-07-30,19
Apartment Complex,11226,Brooklyn,6,2023-07-01,2
Apartment Complex,10072,Manhattan,1,2023-03-13,38
Apartment Complex,10235,Manhattan,7,2023-04-09,48
Villa,11235,Brooklyn,4,2023-07-27,41
Villa,10308,Staten Island,6,2023-06-10,26
Hotel,10451,Bronx,5,2023-09-08,48
Hotel,10459,Bronx,7,2023-10-15,6
Villa,11217,Brooklyn,5,2023-12-08,47
Private Home,10468,Bronx,1,2023-10-16,48
Apartment Complex,11255,Brooklyn,4,2023-06-15,22
Villa,11019,Queens,1,2023-09-25,7
Private Home,11092,Queens,4,2023-06-22,60
Apartment Complex,11073,Queens,5,2023-04-21,16
Villa,10195,Manhattan,2,2023-04-11,36
Hotel,10196,Manhattan,1,2023-05-15,51
Villa,10310,Staten Island,4,2023-12-07,26
Hotel,10461,Bronx,3,2023-08-30,49
Villa,10310,Staten Island,6,2023-02-18,6
Apartment Complex,10455,Bronx,7,2023-02-05,34
Hotel,10309,Staten Island,1,2023-11-13,32
Apartment Complex,11078,Queens,6,2023-03-18,45
Villa,10312,Staten Island,7,2023-08-13,13
Hotel,10264,Manhattan,2,2023-01-24,25
Hotel,10463,Bronx,7,2023-03-26,57
Private Home,10452,Bronx,1,2023-06-05,32
Villa,10302,Staten Island,5,2023-12-29,32
Apartment Complex,10454,Bronx,3,2023-10-11,11
Hotel,10302,Staten Island,6,2023-12-16,53
Villa,10194,Manhattan,7,2023-10-08,30
Hotel,10463,Bronx,1,2023-06-19,29
Private Home,10137,Manhattan,4,2023-02-23,57
Hotel,11251,Brooklyn,7,2023-04-23,2
Villa,11249,Brooklyn,2,2023-01-24,38
Hotel,10037,Manhattan,2,2023-07-25,36
Hotel,11212,Brooklyn,6,2023-06-24,59
Private Home,11234,Brooklyn,2,2023-11-07,14
Villa,11248,Brooklyn,3,2023-03-15,57
Villa,10456,Bronx,4,2023-12-21,29
Apartment Complex,10310,Staten Island,7,2023-06-18,14
Apartment Complex,10010,Manhattan,6,2023-12-09,11
Private Home,10459,Bronx,6,2023-06-17,57
Private Home,10464,Bronx,1,2023-12-18,13
Private Home,10313,Staten Island,2,2023-05-30,20
Villa,10107,Manhattan,7,2023-10-08,60
Apartment Complex,10459,Bronx,7,2023-08-20,31
Apartment Complex,11202,Brooklyn,5,2023-03-10,59
Villa,11229,Brooklyn,7,2023-06-18,34
Villa,10230,Manhattan,1,2023-05-01,27
Hotel,11094,Queens,6,2023-12-30,11
Villa,11016,Queens,5,2023-04-28,46
Apartment Complex,10303,Staten Island,6,2023-11-04,12
Apartment Complex,11232,Brooklyn,7,2023-10-22,12
Hotel,11237,Brooklyn,6,2023-01-14,58
Villa,10453,Bronx,6,2023-07-01,20
Apartment Complex,10452,Bronx,7,2023-04-09,16
Private Home,10309,Staten Island,1,2023-05-01,15
Apartment Complex,10460,Bronx,3,2023-07-05,5
Hotel,10043,Manhattan,4,2023-08-24,18
Villa,11091,Queens,7,2023-06-11,27
Villa,10311,Staten Island,6,2023-09-09,48
Private Home,11071,Queens,7,2023-01-15,30
Apartment Complex,11053,Queens,5,2023-01-13,59
Villa,10465,Bronx,5,2023-10-13,35
Hotel,11040,Queens,6,2023-01-21,36
Apartment Complex,10007,Manhattan,7,2023-03-05,38
Villa,10309,Staten Island,6,2023-09-16,19
Apartment Complex,11026,Queens,5,2023-12-08,34
Villa,10313,Staten Island,7,2023-01-22,40
Villa,10469,Bronx,7,2023-01-15,10
Apartment Complex,10308,Staten Island,2,2023-02-21,51
Hotel,10463,Bronx,4,2023-11-09,9
Apartment Complex,10451,Bronx,4,2023-04-20,27
Hotel,11005,Queens,4,2023-11-09,53
Hotel,10303,Staten Island,2,2023-07-11,26
Apartment Complex,10469,Bronx,7,2023-12-24,30
Villa,10463,Bronx,4,2023-01-05,31
Apartment Complex,11066,Queens,7,2023-10-15,1
Villa,10302,Staten Island,2,2023-03-28,51
Villa,10005,Manhattan,6,2023-12-30,48
Villa,10312,Staten Island,7,2023-11-26,24
Villa,11219,Brooklyn,3,2023-03-22,13
Hotel,10245,Manhattan,1,2023-08-21,59
Private Home,10071,Manhattan,7,2023-05-14,20
Villa,10304,Staten Island,3,2023-03-15,56
Apartment Complex,11046,Queens,1,2023-08-14,32
Villa,10313,Staten Island,2,2023-06-20,57
Apartment Complex,10466,Bronx,7,2023-06-18,51
Hotel,10305,Staten Island,4,2023-12-21,6
Apartment Complex,10071,Manhattan,6,2023-01-21,3
Hotel,10313,Staten Island,1,2023-06-05,53
Villa,11085,Queens,4,2023-02-16,54
Private Home,11042,Queens,5,2023-01-27,5
Private Home,11029,Queens,3,2023-10-11,51
Hotel,10474,Bronx,7,2023-11-26,12
Hotel,10474,Bronx,1,2023-12-18,19
Villa,11024,Queens,6,2023-04-29,21
Apartment Complex,10305,Staten Island,5,2023-01-27,21
Villa,10466,Bronx,2,2023-10-24,3
Hotel,11004,Queens,1,2023-11-27,29
Villa,10465,Bronx,1,2023-03-27,41
Private Home,10464,Bronx,5,2023-08-18,40
Private Home,10304,Staten Island,1,2023-06-05,25
Apartment Complex,10462,Bronx,2,2023-01-10,60
Villa,11210,Brooklyn,4,2023-07-13,15
Private Home,11100,Queens,6,2023-10-28,7
Apartment Complex,10472,Bronx,4,2023-08-31,42
Private Home,11243,Brooklyn,1,2023-12-25,51
Apartment Complex,10454,Bronx,2,2023-01-10,25
Hotel,11050,Queens,3,2023-05-03,7
Hotel,10238,Manhattan,7,2023-04-09,42
Private Home,10452,Bronx,6,2023-07-15,57
Apartment Complex,11240,Brooklyn,3,2023-10-18,24
Villa,10312,Staten Island,7,2023-06-04,29
Apartment Complex,10061,Manhattan,4,2023-11-02,17
Villa,10311,Staten Island,2,2023-08-22,47
Hotel,10231,Manhattan,1,2024-01-01,21
Apartment Complex,10311,Staten Island,1,2023-05-15,5
Villa,11223,Brooklyn,5,2023-01-06,4
Apartment Complex,10462,Bronx,2,2023-06-27,37
Villa,10308,Staten Island,6,2023-09-09,23
Villa,10311,Staten Island,2,2023-01-24,54
Apartment Complex,11214,Brooklyn,2,2023-05-16,44
Private Home,11226,Brooklyn,3,2023-10-04,3
Villa,10120,Manhattan,5,2023-02-17,44
Hotel,10210,Manhattan,2,2023-03-21,13
Villa,10466,Bronx,1,2023-01-23,28
Apartment Complex,10019,Manhattan,4,2023-05-25,7
Villa,11222,Brooklyn,5,2023-05-12,16
Hotel,10312,Staten Island,5,2023-08-18,15
Villa,11062,Queens,7,2023-02-19,5
Hotel,10004,Manhattan,6,2023-11-04,5
Private Home,10090,Manhattan,4,2023-07-13,22
Hotel,10302,Staten Island,5,2023-02-10,12
Apartment Complex,10021,Manhattan,1,2023-10-16,51
Private Home,10465,Bronx,3,2023-10-25,13
Hotel,10304,Staten Island,7,2023-07-16,9
Hotel,11249,Brooklyn,5,2023-06-16,28
Private Home,11025,Queens,3,2023-01-04,10
Villa,11015,Queens,6,2023-04-15,48
Private Home,10307,Staten Island,5,2023-04-14,14
Apartment Complex,10310,Staten Island,6,2023-10-28,58
Apartment Complex,10305,Staten Island,2,2023-08-29,3
Private Home,10050,Manhattan,4,2023-12-28,1
Private Home,10309,Staten Island,1,2023-01-16,22
Private Home,10461,Bronx,1,2023-03-27,14
Villa,11031,Queens,6,2023-05-13,12
Hotel,10309,Staten Island,5,2023-03-03,11
Villa,11010,Queens,7,2023-08-06,47
Villa,10302,Staten Island,1,2023-05-08,59
Private Home,10010,Manhattan,6,2023-05-27,39
Hotel,11204,Brooklyn,2,2023-12-05,1
Apartment Complex,11215,Brooklyn,2,2023-01-17,49
Apartment Complex,10459,Bronx,7,2023-11-26,41
Private Home,10470,Bronx,2,2023-12-12,14
Private Home,10070,Manhattan,2,2023-07-18,34
Hotel,11018,Queens,6,2023-12-09,55
Apartment Complex,11239,Brooklyn,3,2023-06-07,53
Hotel,11069,Queens,3,2023-10-25,14
Hotel,11243,Brooklyn,1,2023-08-14,9
Hotel,10304,Staten Island,4,2023-11-09,32
Private Home,11019,Queens,3,2023-07-26,16
Private Home,11038,Queens,6,2023-10-14,31
Hotel,10305,Staten Island,1,2023-09-11,2
Private Home,10311,Staten Island,7,2023-12-10,26
Private Home,10048,Manhattan,6,2023-02-18,43
Private Home,10214,Manhattan,7,2023-12-24,46
Hotel,10469,Bronx,1,2023-06-05,59
Private Home,10472,Bronx,6,2023-05-27,4
Hotel,10034,Manhattan,7,2023-06-18,15
Hotel,10306,Staten Island,6,2023-07-15,8
Hotel,11235,Brooklyn,2,2023-07-11,27
Apartment Complex,11224,Brooklyn,6,2023-03-25,10
Villa,11240,Brooklyn,3,2023-01-11,26
Villa,10050,Manhattan,6,2023-07-01,52
Villa,11018,Queens,6,2023-08-12,16
Villa,10237,Manhattan,5,2023-03-31,36
Hotel,10150,Manhattan,3,2023-09-13,46
Apartment Complex,10049,Manhattan,1,2023-10-30,32
Hotel,10302,Staten Island,6,2023-02-18,41
Villa,10474,Bronx,4,2023-05-18,16
Hotel,11021,Queens,5,2023-06-23,24
Hotel,10466,Bronx,2,2023-03-28,30
Private Home,11249,Brooklyn,2,2023-01-17,22
Villa,11099,Queens,2,2023-01-17,37
Apartment Complex,10006,Manhattan,6,2023-09-16,52
Private Home,10459,Bronx,4,2023-11-23,45
Hotel,11204,Brooklyn,6,2023-11-04,22
Hotel,10202,Manhattan,2,2023-11-28,9
Villa,10102,Manhattan,5,2023-06-09,28
Private Home,11076,Queens,2,2023-08-15,17
Hotel,11222,Brooklyn,1,2023-11-06,46
Private Home,10468,Bronx,1,2023-01-23,46
Hotel,11087,Queens,4,2023-11-09,2
Hotel,11033,Queens,1,2023-10-02,32
Private Home,10305,Staten Island,6,2023-02-11,9
Apartment Complex,10452,Bronx,7,2023-04-02,52
Private Home,10148,Manhattan,6,2023-06-24,43
Apartment Complex,10310,Staten Island,4,2023-03-30,43
Villa,10311,Staten Island,7,2023-09-24,19
Private Home,10047,Manhattan,2,2023-08-22,15
Hotel,10312,Staten Island,6,2023-09-16,23
Apartment Complex,11104,Queens,2,2023-12-05,42
Apartment Complex,10459,Bronx,2,2023-11-07,23
Apartment Complex,10134,Manhattan,5,2023-04-07,14
Villa,10065,Manhattan,1,2023-08-28,26
Hotel,10472,Bronx,2,2023-02-07,46
Hotel,10303,Staten Island,3,2023-10-18,3
Apartment Complex,10458,Bronx,2,2023-12-12,59
Private Home,10301,Staten Island,3,2023-01-11,56
Private Home,11071,Queens,2,2023-05-09,45
Private Home,11243,Brooklyn,1,2023-10-02,9
Hotel,11236,Brooklyn,1,2023-10-09,35
Hotel,10461,Bronx,1,2024-01-01,10
Hotel,10311,Staten Island,6,2023-10-28,42
Private Home,11030,Queens,1,2023-03-27,55
Hotel,11098,Queens,4,2023-01-12,22
Private Home,10306,Staten Island,1,2023-01-23,30
Hotel,11221,Brooklyn,1,2023-08-28,42
Hotel,11013,Queens,5,2023-11-03,42
Villa,11054,Queens,7,2023-10-08,51
Villa,10457,Bronx,4,2023-05-11,59
Villa,11082,Queens,4,2023-11-16,56
Hotel,11051,Queens,6,2023-11-04,44
Apartment Complex,10305,Staten Island,2,2023-07-18,27
Villa,11083,Queens,4,2023-10-19,15
Hotel,11201,Brooklyn,1,2023-01-23,28
Villa,11038,Queens,2,2023-08-22,40
Hotel,10016,Manhattan,5,2023-08-25,1
Apartment Complex,11248,Brooklyn,4,2023-04-20,49
Apartment Complex,10311,Staten Island,2,2023-02-28,54
Hotel,10303,Staten Island,2,2023-11-21,52
Hotel,10252,Manhattan,4,2023-01-26,21
Villa,10030,Manhattan,3,2023-05-10,33
Hotel,11237,Brooklyn,5,2023-07-07,50
Hotel,10305,Staten Island,6,2023-05-27,42
Hotel,11026,Queens,6,2023-10-14,25
Villa,10270,Manhattan,3,2023-09-20,4
Hotel,11027,Queens,6,2023-08-12,56
Villa,11216,Brooklyn,4,2023-08-03,16
Private Home,11214,Brooklyn,1,2023-02-06,31
Hotel,10217,Manhattan,2,2023-12-19,35
Private Home,11096,Queens,7,2023-12-10,6
Apartment Complex,10465,Bronx,4,2023-08-03,12
Apartment Complex,10307,Staten Island,5,2023-01-13,9
Apartment Complex,10313,Staten Island,3,2023-01-04,21
Private Home,10046,Manhattan,2,2023-08-08,12
Apartment Complex,10210,Manhattan,3,2023-05-31,20
Private Home,10311,Staten Island,4,2023-01-05,58
Hotel,10233,Manhattan,6,2023-07-22,27
Private Home,11219,Brooklyn,6,2023-10-21,51
Private Home,10269,Manhattan,1,2023-05-01,18
Apartment Complex,11037,Queens,3,2023-02-15,10
Villa,10311,Staten Island,7,2023-05-14,44
Apartment Complex,11221,Brooklyn,5,2023-05-19,11
Private Home,10462,Bronx,7,2023-09-17,17
Apartment Complex,10101,Manhattan,2,2023-12-19,56
Villa,10309,Staten Island,3,2023-11-15,53
Villa,10302,Staten Island,5,2023-12-15,59
Private Home,10081,Manhattan,3,2023-10-11,46
Hotel,10132,Manhattan,4,2023-09-21,35
Private Home,10154,Manhattan,7,2023-02-26,59
Private Home,10105,Manhattan,2,2023-11-28,16
Villa,10452,Bronx,3,2023-09-06,24
Hotel,11201,Brooklyn,5,2023-04-28,40
Apartment Complex,10474,Bronx,2,2023-10-31,49
Hotel,11229,Brooklyn,4,2023-07-20,3
Villa,11027,Queens,5,2023-12-22,4
Hotel,10309,Staten Island,7,2023-08-13,17
Hotel,10472,Bronx,3,2023-09-20,50
Hotel,10464,Bronx,6,2023-06-24,30
Villa,10463,Bronx,6,2023-07-01,25
Villa,11092,Queens,5,2023-04-21,12
Hotel,10466,Bronx,5,2023-05-19,20
Private Home,11220,Brooklyn,7,2023-08-20,60
Hotel,11088,Queens,5,2023-10-20,17
Apartment Complex,11055,Queens,7,2023-05-21,12
Hotel,10456,Bronx,6,2023-03-25,58
Apartment Complex,11246,Brooklyn,2,2023-02-28,10
Private Home,10212,Manhattan,2,2023-06-06,3
Private Home,10311,Staten Island,5,2023-06-30,26
Villa,10310,Staten Island,5,2023-12-22,35
Private Home,10313,Staten Island,4,2023-03-02,12
Apartment Complex,11253,Brooklyn,1,2023-04-24,41
Apartment Complex,10303,Staten Island,7,2023-04-30,40
Private Home,10304,Staten Island,3,2023-11-08,7
Hotel,11204,Brooklyn,7,2023-09-03,5
Private Home,10309,Staten Island,1,2023-05-15,30
Private Home,10460,Bronx,2,2023-10-10,47
Apartment Complex,10312,Staten Island,3,2023-02-15,47
Apartment Complex,10472,Bronx,1,2023-10-23,6
Hotel,10462,Bronx,2,2023-01-31,19
Hotel,11230,Brooklyn,2,2023-03-21,38
Villa,10311,Staten Island,7,2023-07-02,38
Hotel,10302,Staten Island,2,2023-09-12,8
Private Home,10302,Staten Island,5,2023-12-15,33
Villa,10453,Bronx,5,2023-05-05,5
Hotel,10301,Staten Island,7,2023-04-23,35
Hotel,10053,Manhattan,2,2023-05-16,15
Private Home,11055,Queens,7,2023-09-17,16
Apartment Complex,11232,Brooklyn,4,2023-03-16,1
Apartment Complex,11047,Queens,6,2023-09-30,18
Apartment Complex,11254,Brooklyn,6,2023-05-13,23
Villa,10023,Manhattan,5,2023-01-13,20
Private Home,11010,Queens,7,2023-09-10,1
Villa,10009,Manhattan,1,2023-08-21,40
Villa,10307,Staten Island,1,2023-02-20,25
Apartment Complex,10301,Staten Island,1,2023-11-13,41
Private Home,11254,Brooklyn,6,2023-07-29,10
Private Home,11242,Brooklyn,6,2023-10-28,25
Hotel,10009,Manhattan,3,2023-07-26,47
Hotel,10458,Bronx,1,2023-02-13,24
Private Home,11217,Brooklyn,4,2023-08-17,58
Villa,10303,Staten Island,5,2023-11-10,47
Villa,10466,Bronx,2,2023-03-07,17
Apartment Complex,10154,Manhattan,4,2023-10-26,4
Villa,11249,Brooklyn,1,2023-03-20,31
Hotel,11239,Brooklyn,1,2023-06-05,40
Apartment Complex,10310,Staten Island,3,2023-08-09,35
Hotel,10056,Manhattan,3,2023-04-05,3
Apartment Complex,11207,Brooklyn,4,2023-02-23,48
Hotel,10263,Manhattan,3,2023-05-24,39
Hotel,11035,Queens,7,2023-06-18,30
Private Home,10176,Manhattan,4,2023-06-15,25
Private Home,10304,Staten Island,6,2023-12-30,46
Villa,11247,Brooklyn,2,2023-12-19,28
Private Home,11239,Brooklyn,5,2023-03-17,33
Private Home,11248,Brooklyn,7,2023-04-23,52
Villa,11220,Brooklyn,1,2023-11-13,7
Hotel,10304,Staten Island,3,2023-05-31,58
Apartment Complex,10267,Manhattan,7,2023-02-12,40
Villa,11086,Queens,4,2023-09-21,13
Hotel,10260,Manhattan,2,2023-11-07,25
Apartment Complex,10310,Staten Island,5,2023-08-18,5
Private Home,10122,Manhattan,6,2023-12-30,50
Hotel,10229,Manhattan,1,2023-04-17,58
Apartment Complex,10122,Manhattan,3,2023-06-14,5
Private Home,10091,Manhattan,5,2023-09-15,4
Apartment Complex,11222,Brooklyn,7,2023-01-08,23
Hotel,10313,Staten Island,5,2023-09-15,57
Apartment Complex,10458,Bronx,1,2023-05-29,33
Apartment Complex,10471,Bronx,2,2023-08-29,2
Private Home,10467,Bronx,1,2023-11-27,22
Private Home,10302,Staten Island,5,2023-04-28,30
Apartment Complex,11236,Brooklyn,2,2023-08-08,23
Hotel,10307,Staten Island,3,2023-11-22,34
Hotel,10454,Bronx,7,2023-04-30,34
Hotel,11209,Brooklyn,4,2023-02-02,49
Private Home,10453,Bronx,5,2023-06-09,54
Apartment Complex,10308,Staten Island,1,2023-03-20,55
Hotel,10023,Manhattan,3,2023-06-07,47
Villa,10106,Manhattan,6,2023-12-30,7
Apartment Complex,10309,Staten Island,7,2023-05-14,5
Apartment Complex,10306,Staten Island,7,2023-03-19,45
Apartment Complex,11249,Brooklyn,4,2023-05-25,59
Apartment Complex,11210,Brooklyn,6,2023-01-07,1
Private Home,10451,Bronx,3,2023-07-19,59
Apartment Complex,10309,Staten Island,3,2023-01-04,57
Villa,10463,Bronx,7,2023-12-17,45
Villa,10306,Staten Island,5,2023-11-03,30
Private Home,11071,Queens,6,2023-04-22,54
Villa,10311,Staten Island,6,2023-08-19,8
Hotel,10467,Bronx,3,2023-10-04,24
Private Home,11234,Brooklyn,4,2023-08-31,21
Villa,11246,Brooklyn,3,2023-10-18,23
Apartment Complex,10305,Staten Island,7,2023-11-12,47
Hotel,11073,Queens,2,2023-01-31,19
Private Home,11249,Brooklyn,6,2023-04-15,18
Apartment Complex,10312,Staten Island,7,2023-02-05,11
Hotel,11245,Brooklyn,1,2023-08-21,37
Private Home,11020,Queens,6,2023-01-14,7
Private Home,10158,Manhattan,7,2023-05-21,18
Hotel,10470,Bronx,2,2023-02-21,27
Villa,11094,Queens,2,2023-08-01,34
Private Home,11018,Queens,2,2023-02-14,26
Hotel,10465,Bronx,6,2023-06-17,2
Hotel,11071,Queens,2,2023-09-19,14
Villa,10453,Bronx,6,2023-01-07,43
Hotel,10456,Bronx,6,2023-07-08,32
Hotel,11248,Brooklyn,4,2023-07-06,24
Private Home,10469,Bronx,7,2023-07-16,43
Private Home,10466,Bronx,6,2023-06-24,35
Private Home,10470,Bronx,7,2023-02-12,4
Private Home,10030,Manhattan,5,2023-03-24,29
Hotel,10457,Bronx,3,2023-07-05,8
Private Home,11204,Brooklyn,3,2023-03-29,43
Hotel,10301,Staten Island,4,2023-02-23,40
Hotel,10192,Manhattan,2,2023-11-14,7
Private Home,11229,Brooklyn,1,2024-01-01,24
Hotel,10454,Bronx,6,2023-02-11,14
Private Home,10309,Staten Island,4,2023-11-09,58
Hotel,10305,Staten Island,2,2023-06-13,19
Villa,11019,Queens,2,2023-04-18,11
Villa,10302,Staten Island,6,2023-01-07,31
Hotel,10223,Manhattan,5,2023-03-17,51
Hotel,11225,Brooklyn,2,2023-05-16,41
Hotel,11082,Queens,2,2023-10-17,15
Hotel,11212,Brooklyn,3,2023-08-09,31
Private Home,10107,Manhattan,5,2023-12-22,7
Villa,10307,Staten Island,5,2023-06-30,20
Hotel,10161,Manhattan,4,2023-03-23,2
Private Home,10162,Manhattan,1,2023-12-18,14
Apartment Complex,10139,Manhattan,4,2023-01-12,55
Private Home,10310,Staten Island,5,2023-02-10,16
Hotel,11090,Queens,2,2023-04-25,5
Villa,10468,Bronx,4,2023-09-14,38
Apartment Complex,10281,Manhattan,1,2023-12-25,35
Villa,11044,Queens,2,2023-02-21,49
Apartment Complex,11100,Queens,4,2023-10-12,21
Apartment Complex,11104,Queens,2,2023-08-08,5
Hotel,10013,Manhattan,2,2023-06-06,41
Villa,11252,Brooklyn,5,2023-07-28,58
Apartment Complex,11082,Queens,1,2023-08-21,23
Hotel,10472,Bronx,1,2023-02-27,50
Private Home,10077,Manhattan,2,2023-03-14,25
Hotel,10220,Manhattan,5,2023-06-30,54
